Country code,Country name,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
CAN,CANADA,5.3,5.4,5.6,5.7,5.8,5.9,6.0,6.1,6.1,6.1,6.2,6.2,6.2,6.3,6.4,6.5,6.7,6.9,7.2,7.4,7.7,8.0,8.3
CHE,SWITZERLAND,4.3,4.4,4.5,4.6,4.7,4.9,5.0,5.1,5.2,5.3,5.5,5.6,5.6,5.7,5.8,5.9,6.1,6.4,6.7,7.1,7.5,7.9,8.2
CHL,CHILE,9.1,9.2,9.2,9.1,9.1,9.1,9.1,9.2,9.2,9.4,9.8,10.3,10.9,11.5,11.9,12.3,12.5,13.1,14.0,15.2,16.4,17.7,19.1
CHN,CHINA,14.0,14.9,16.0,17.1,18.4,20.0,21.8,23.9,26.3,28.9,31.6,34.3,36.9,39.3,41.4,43.5,45.5,47.4,49.3,51.1,52.6,53.6,54.0
CIV,COTE D'IVOIRE,107.6,110.7,113.9,117.4,120.8,124.7,128.1,131.2,134.5,137.4,140.2,142.9,145.3,147.4,149.3,150.7,151.7,152.2,152.3,152.2,152.1,151.9,151.8
CMR,CAMEROON,94.9,98.5,102.6,107.1,111.2,115.4,119.8,124.1,129.4,134.6,140.4,145.8,150.4,153.6,155.1,154.6,153.1,150.6,147.4,143.5,139.9,136.9,134.9
COD,"CONGO, THE DRC",145.7,150.4,155.1,159.6,164.0,167.9,170.2,171.1,171.2,171.2,171.2,171.2,171.2,171.2,171.2,171.2,171.2,171.2,171.2,171.2,171.2,171.2,171.2
COG,CONGO,96.0,98.9,101.7,104.5,107.1,109.6,111.7,113.3,114.7,116.2,117.1,118.0,118.3,118.0,116.8,115.0,112.7,110.1,107.5,104.9,102.9,101.3,100.0
COK,COOK ISLANDS,10.6,10.9,11.3,11.7,12.1,12.6,13.1,13.7,14.3,15.0,15.7,16.5,17.4,18.3,19.3,20.4,21.4,22.3,23.1,23.7,24.2,24.6,24.9
COL,COLOMBIA,17.6,18.1,18.7,19.3,19.9,20.5,21.1,21.7,22.3,23.0,23.7,24.4,25.2,26.0,26.9,27.9,28.9,30.0,31.0,32.1,33.1,34.1,35.1
COM,COMOROS,77.6,80.1,82.6,85.0,87.2,89.7,91.8,93.9,95.7,97.1,97.9,98.4,99.1,99.9,101.2,102.6,104.5,106.8,109.5,112.7,116.4,120.1,124.0
CPV,CAPE VERDE,22.2,22.9,23.7,24.6,25.5,26.5,27.5,28.7,30.1,31.6,33.4,35.5,37.7,40.1,42.5,45.0,47.5,49.8,52.2,54.5,56.8,59.1,61.5
CRI,COSTA RICA,9.9,10.1,10.3,10.4,10.5,10.4,10.4,10.4,10.6,11.0,11.6,12.4,13.1,13.8,14.4,14.8,15.1,15.3,15.5,15.8,16.1,16.5,16.9
CUB,CUBA,5.5,5.7,6.0,6.2,6.3,6.4,6.5,6.8,7.1,7.4,7.7,8.0,8.4,8.9,9.4,10.0,10.4,10.7,11.0,11.3,11.7,12.4,13.2
CYP,CYPRUS,3.2,3.4,3.6,3.8,4.0,4.3,4.6,4.9,5.2,5.6,5.9,6.2,6.6,7.0,7.5,8.0,8.5,9.0,9.6,10.1,10.6,10.9,11.1
