source,target,value,,,,
Most Searched Words on HermanMiller.com,People,1,,,,
MSA Code - Unique Identifier,Product,1,,,,
Name of Product in Developent,Product,1,,,,
Names of Teams Engaged in Project Design Process,People,1,,,,
Narrative of Product Concept,Product,1,,,,
Narrative of Project Design Principles,Product,1,,,,
Narrative of Project Design/ Engineering Risks,Product,1,,,,
Narrative of Project Financial Risks,Product,1,,,,
Narrative of Project Marketing Risks,Product,1,,,,
Narrative of Project Operations Risk,Product,1,,,,
Narrative of Summary of Test Results,Product,1,,,,
Narrative of Test Results / Observations,Product,1,,,,
Nielsen Segment Analysis,People,1,,,,
Notable Customer Losses,Product,1,,,,
Notable Customer Wins,Product,1,,,,
Number of Dealers by MSA,Product,1,,,,
Number of Dealers by Region,Product,1,,,,
Number of Employees at each Customer,Product,1,,,,
Number of Engineers Assigned to Each Product,Product,1,,,,
Number of iPad App Portal Downloads,People,1,,,,
Number of Page Views by City,People,1,,,,
Number of Users by City,People,1,,,,
Number of Views for each Web Asset on HermanMiller.com by Associated Product,Product,1,,,,
Online Generated Leads,People,1,,,,
Page accessed first after HermanMiller.com home page,Product,1,,,,
Pageviews by Setting,People,1,,,,
Paid Search Criteria – Google Ad Words,People,1,,,,
Part Number,Product,1,,,,
Part Supplier,Product,1,,,,
Percent of Workplace Reconfigured Annually at Respondant's Company,People,1,,,,
Percent of Workplace Reconfigured Annually at Respondant's Company,Product,1,,,,
Performance Environments - Chair Occupancy,Product,1,,,,
Performance Environments - Room Occupancy,People,1,,,,
Planned Market Share by Year by MSA,People,1,,,,
Planned Market Share by Year by MSA,Product,1,,,,
Planned Market Share by Year by Region,People,1,,,,
Planned Market Share by Year by Region,Product,1,,,,
Planned Sales by Year by MSA,People,1,,,,
Planned Sales by Year by MSA,Product,1,,,,
Planned Sales by Year by Region,People,1,,,,
Planned Sales by Year by Region,Product,1,,,,
Potential Sales by MSA Region by Year,Product,1,,,,
Potential Sales for Projected Per Customer,Product,1,,,,
Presentation system turned on,People,1,,,,
