Name,People,Product,Place,Format,Location (System),Frequency Updated,Frequency Used,Recieved From,Recieved From - Department,Used By Department 1,Used By Department 2,Used By Department 3,Used By Department 4,Linkable Data 1,Linkable Data 2,Linkable Data 3,Linkable Data 4,Unit
Meeting Logs - Rooms,,,,Database,Creston/Fusion Server,Daily,Not Utilized,Patrick Boruta,IT,IT,,,,Time,,,,Meeting
Meeting Logs - People,,,,Database,Creston/Fusion Server,Daily,Not Utilized,Patrick Boruta,IT,IT,,,,Time,Employee,,,Meeting
Meeting Logs - Scheduler,,,,Database,Creston/Fusion Server,Daily,Not Utilized,Patrick Boruta,IT,IT,,,,Time,Employee,,,Meeting
Meeting Logs - Joined by Phone,,,,Database,Creston/Fusion Server,Daily,Not Utilized,Patrick Boruta,IT,IT,,,,Employee,,,,Meeting
Shared Documents,,,,Database,Office 365,Daily,Not Utilized,Patrick Boruta,IT,IT,,,,Employee,,,,Document
Email Logs,,,,Database,Office 365,Daily,Not Utilized,Patrick Boruta,IT,IT,,,,Time,Employee,,,Email
Documents Shared Externally,,,,Database,Office 365,Daily,Not Utilized,Patrick Boruta,IT,IT,,,,Time,Employee,Customer,,Document
Website Satisfaction - HermanMiller.com,,,,Report,Forsee,Daily,Unknown,Bill Bernahl,Marketing,Marketing,,,,Customer,,,,Web Visit
Customer Name,1,,,Database,Salesforce,Daily,Unknown,Sarah Johnson,IT,Sales,,,,Customer,,,,
Customer ID,1,,,Database,Salesforce,Daily,Unknown,Sarah Johnson,IT,Sales,,,,Customer,,,,
Customer Address,1,,,Database,Salesforce,Daily,Unknown,Sarah Johnson,IT,Sales,,,,Customer,Region,,,
Customer Annual Revenue,1,,,Database,Salesforce,Daily,Unknown,Sarah Johnson,IT,Sales,,,,Customer,,,,
Customer Number of Employees ,1,,,Database,Salesforce,Daily,Unknown,Sarah Johnson,IT,Sales,,,,Customer,Employee,,,
Customer Opportunity ID,1,,,Database,Salesforce,Daily,Unknown,Sarah Johnson,IT,Sales,,,,Customer,,,,
Customer Opportunity Name,1,,,Database,Salesforce,Daily,Unknown,Sarah Johnson,IT,Sales,,,,Customer,,,,
Customer Opportunity Description,1,,,Database,Salesforce,Daily,Unknown,Sarah Johnson,IT,Sales,,,,Customer,,,,
Customer Opportunity Value,1,,,Database,Salesforce,Daily,Unknown,Sarah Johnson,IT,Sales,,,,Customer,Product,Time,,
Years HM has had relaitonship with customer,1,,,Database,Salesforce,Daily,Unknown,Sarah Johnson,IT,Sales,,,,Customer,Time,,,
Customer Sales Region,1,,,Database,Salesforce,Daily,Unknown,Sarah Johnson,IT,Sales,,,,Customer,Customer Segment,Region,,
Customer NAICs Code,1,,,Database,Salesforce,Daily,Unknown,Sarah Johnson,IT,Sales,,,,Customer,,,,
Customer Jigsaw company ID,1,,,Database,Salesforce,Daily,Unknown,Sarah Johnson,IT,Sales,,,,Customer,,,,
Customer Duns Company ID,1,,,Database,Salesforce,Daily,Unknown,Sarah Johnson,IT,Sales,,,,Customer,,,,
Names of Teams Engaged in Project Design Process,,,,Powerpoint,Concept Convergence Document,Once,Once,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,Employee,Time,,
Capacity - Total Headcount Needed for Current Project,,,,Database,Accolade,Weekly,Weekly,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Employee,Time,,,
Capacity - Total Headcount Available,,,,Database,Accolade,Weekly,Weekly,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Employee,Time,,,
Nielsen Segment Analysis,1,,,Document,Document,Once,Once,Bill Bernhal,Marketing,Marketing,,,,Customer Segment,,,,
Website Traffic Composition by State by page on site,1,,,Document,Document,Once,Once,Bill Bernhal,Marketing,Marketing,,,,Region,,,,
Website Traffic Gender Composition by Page,1,,,Document,Document,Once,Once,Bill Bernhal,Marketing,Marketing,,,,Customer Segment,,,,
Website Traffic Age Composition by Page,1,,,Document,Document,Once,Once,Bill Bernhal,Marketing,Marketing,,,,Customer Segment,,,,
Website Traffic by Income by Page,1,,,Document,Document,Once,Once,Bill Bernhal,Marketing,Marketing,,,,Customer Segment,,,,
Website Traffic by Net Worth by Page,1,,,Document,Document,Once,Once,Bill Bernhal,Marketing,Marketing,,,,Customer Segment,,,,
Website Traffic by Career Status by Page,1,,,Document,Document,Once,Once,Bill Bernhal,Marketing,Marketing,,,,Customer Segment,,,,
Website Traffic Top 5 Occupations by Page,1,,,Document,Document,Once,Once,Bill Bernhal,Marketing,Marketing,,,,Customer Segment,,,,
Website Traffic by Housing Attribute (Home Owners / Renters) by Page,1,,,Document,Document,Once,Once,Bill Bernhal,Marketing,Marketing,,,,Customer Segment,,,,
Website Traffic Length of Residence at Current address by Page,1,,,Document,Document,Once,Once,Bill Bernhal,Marketing,Marketing,,,,Customer Segment,,,,
Website Traffic Top 5 Auto Make by Page,1,,,Document,Document,Once,Once,Bill Bernhal,Marketing,Marketing,,,,Customer Segment,,,,
Website Traffic Top 4 Psychographies by Page,1,,,Document,Document,Once,Once,Bill Bernhal,Marketing,Marketing,,,,Customer Segment,,,,
Count of File Formats for Downloaded Product Brochures ,1,,,Document,Google Analytics,Monthly,Monthly,Jeff Rhoads,Marketing,Marketing,,,,Time,,,,
Average Product Downloads per User,1,,,Document,Google Analytics,Monthly,Monthly,Jeff Rhoads,Marketing,Marketing,,,,Product Family,,,,
Pageviews by Setting,1,,,Document,Google Analytics,Monthly,Monthly,Jeff Rhoads,Marketing,Marketing,,,,Product Family,,,,
Number of Page Views by City,1,,,Document,Google Analytics,Monthly,Monthly,Jeff Rhoads,Marketing,Marketing,,,,Time,,,,
Number of Users by City,1,,,Document,Google Analytics,Monthly,Monthly,Jeff Rhoads,Marketing,Marketing,,,,Time,,,,
Work Products by Pricepoint,1,,,Document,,Once,,Jeff Rhoads,Marketing,Marketing,,,,Product,Product Family,,,
