Name,People,Product,Place,Format,Location (System),Frequency Updated,Frequency Used,Recieved From,Recieved From - Department,Used By Department 1,Used By Department 2,Used By Department 3,Used By Department 4,Linkable Data 1,Linkable Data 2,Linkable Data 3,Linkable Data 4,Unit
Core Issues and Resolutions for Each Product,,1,,Development Wall,Whiteboard,Weekly,Daily,Connie Boeve,Development,Design/Development,Product Management,,,Product,Time,Employee,,
Revenue Plan by Product,,1,,Development Wall,Document,Weekly,Daily,Connie Boeve,Development,Design/Development,Product Management,,,Product,Time,Product Family,Product Category,
Total Number of Online Sales,,1,,Powerpoint,Razorfish Deck,Once,Once,Bill Bernhal,Marketing,Marketing,,,,Customer,Customer Segment,Region,Product,
Performance Environments - Chair Occupancy,,1,,Spreadsheet,Spreadsheet,Once,Once,Tracy Brower,Performance Environments,Performance Environments,,,,Time,Customer,Product Family,Product,Occupied/Not Occupied
Product Adjacencies - Seating Idea Starters by Living Office Setting,,1,,PDF Document,OneStop,,,,Marketing,Marketing,Sales,,,Customer,Product,,,Product
Growth by MSA Region by Year,,1,,PDF Document,MSA Dashboard,Monthly,Monthly,Dave Masselink,IT,Sales,,,,Customer,Region,Time,Product,Dollars
Shipment Growth by MSA Region by Year,,1,,PDF Document,MSA Dashboard,Monthly,Monthly,Dave Masselink,IT,Sales,,,,Product,Region,Time,Category,Dollars
CAD Drawings,,1,,CAD,PDMLink,Once,Daily,,Development,Design/Development,Sales,Product Management,Marketing,Product,,,,Drawing
Lessons Learned in Development Process,,1,,Document,Office 365,Once,Once,Connnie Boeve,Development,Design/Development,Product Management,,,Product,Time,,,Document
Customer Opportunity Products,1,1,,Database,Salesforce,Daily,Unknown,Sarah Johnson,IT,Sales,,,,Customer,Product,,,
Projected Total Investment Required for Project,,1,,Powerpoint,Concept Convergence Document,Once,Once,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Time,Product,,,
Projected Gross Margin for Project,,1,,Powerpoint,Concept Convergence Document,Once,Once,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Time,Product,,,
Projected 10 Year MVA for Project,,1,,Powerpoint,Concept Convergence Document,Once,Once,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Time,Product,,,
